@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
68,'2023/10/24 14:26:05:015',3,0.483968,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,?
69,'2023/10/24 14:26:05:033',3,0.483968,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,?
70,'2023/10/24 14:26:05:048',3,0.483968,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,?
71,'2023/10/24 14:26:05:065',3,0.479124,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,0,0.180961,?
72,'2023/10/24 14:26:05:083',3,0.436326,366.064453,0.462213,344.53125,0.246315,258.398438,0.15914,21.533203,0.138501,172.265625,0.106703,322.998047,0.097402,150.732422,0.08787,129.199219,0.087811,107.666016,0.084363,279.931641,0.083131,?
73,'2023/10/24 14:26:05:130',3,0.420055,279.931641,0.211858,258.398438,0.176316,344.53125,0.151945,366.064453,0.126173,322.998047,0.086446,301.464844,0.070041,236.865234,0.068046,409.130859,0.050293,387.597656,0.049771,452.197266,0.041669,?
74,'2023/10/24 14:26:05:399',3,0.418283,279.931641,0.132485,366.064453,0.113166,344.53125,0.098837,258.398438,0.067583,0,0.064425,0,0.064425,0,0.064425,0,0.064425,0,0.064425,0,0.064425,?
75,'2023/10/24 14:26:05:415',3,0.418283,279.931641,0.132485,366.064453,0.113166,344.53125,0.098837,258.398438,0.067583,0,0.064425,0,0.064425,0,0.064425,0,0.064425,0,0.064425,0,0.064425,?
76,'2023/10/24 14:26:05:666',3,0.480201,387.597656,0.106791,322.998047,0.086617,409.130859,0.085661,344.53125,0.074618,430.664063,0.073926,301.464844,0.068841,258.398438,0.067512,495.263672,0.058685,452.197266,0.054832,516.796875,0.054769,?
77,'2023/10/24 14:26:07:116',3,0.480016,279.931641,0.191449,344.53125,0.130756,387.597656,0.106901,904.394531,0.098733,409.130859,0.092945,258.398438,0.087772,495.263672,0.086276,193.798828,0.082769,861.328125,0.080481,366.064453,0.07167,?
