@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
123,'2023/10/22 16:28:23:115',3,0.304314,0,0.042049,0,0.042049,0,0.042049,0,0.042049,0,0.042049,?,?,?
124,'2023/10/22 16:28:23:129',3,0.25648,0,0.029445,0,0.029445,0,0.029445,0,0.029445,0,0.029445,?,?,?
125,'2023/10/22 16:28:23:146',3,0.25648,0,0.029445,0,0.029445,0,0.029445,0,0.029445,0,0.029445,?,?,?
126,'2023/10/22 16:28:23:348',3,0.365199,0,0.087604,0,0.087604,0,0.087604,0,0.087604,0,0.087604,?,?,?
127,'2023/10/22 16:28:23:366',3,0.365199,0,0.087604,0,0.087604,0,0.087604,0,0.087604,0,0.087604,?,?,?
128,'2023/10/22 16:28:23:383',3,0.307795,0,0.100744,0,0.100744,0,0.100744,0,0.100744,0,0.100744,?,?,?
129,'2023/10/22 16:28:24:587',3,0.422827,1528.857422,0.032295,1550.390625,0.030842,1507.324219,0.025393,1571.923828,0.022414,1636.523438,0.0182,?,?,?
130,'2023/10/22 16:28:24:603',3,0.338884,1528.857422,0.03896,2347.119141,0.033207,1507.324219,0.026814,1550.390625,0.026411,1571.923828,0.022667,?,?,?
131,'2023/10/22 16:28:24:617',3,0.319035,2325.585938,0.028958,2347.119141,0.021614,4005.175781,0.016899,2024.121094,0.016664,2368.652344,0.016142,?,?,?
132,'2023/10/22 16:28:24:636',3,0.404299,882.861328,0.022733,861.328125,0.018237,2325.585938,0.017666,1744.189453,0.016707,1528.857422,0.016463,?,?,?
133,'2023/10/22 16:28:24:652',3,0.400252,882.861328,0.024281,2325.585938,0.018475,861.328125,0.01662,1744.189453,0.016369,1528.857422,0.015822,?,?,?
134,'2023/10/22 16:28:24:677',3,0.324034,2325.585938,0.017808,904.394531,0.010453,2368.652344,0.009562,861.328125,0.007774,2390.185547,0.007712,?,?,?
135,'2023/10/22 16:28:24:683',3,0.324034,2325.585938,0.017808,904.394531,0.010453,2368.652344,0.009562,861.328125,0.007774,2390.185547,0.007712,?,?,?
136,'2023/10/22 16:28:24:699',3,0.26233,904.394531,0.009856,861.328125,0.006613,2325.585938,0.00625,2153.320313,0.005976,882.861328,0.005689,?,?,?
209,'2023/10/22 16:29:00:547',4,0.261903,129.199219,0.065759,150.732422,0.061181,215.332031,0.055064,193.798828,0.043783,172.265625,0.03978,?,?,?
208,'2023/10/22 16:29:00:364',4,0.293471,301.464844,0.069685,150.732422,0.060644,236.865234,0.05606,193.798828,0.049237,172.265625,0.043388,?,?,?
207,'2023/10/22 16:29:00:347',4,0.302463,301.464844,0.060948,172.265625,0.05877,193.798828,0.058464,236.865234,0.057737,279.931641,0.047049,?,?,?
206,'2023/10/22 16:29:00:336',4,0.3625,172.265625,0.155753,279.931641,0.107662,193.798828,0.083698,86.132813,0.079792,107.666016,0.063203,?,?,?
205,'2023/10/22 16:29:00:316',4,0.475623,172.265625,0.120457,107.666016,0.080993,43.066406,0.080514,64.599609,0.0776,215.332031,0.074245,?,?,?
204,'2023/10/22 16:29:00:307',4,0.475623,172.265625,0.120457,107.666016,0.080993,43.066406,0.080514,64.599609,0.0776,215.332031,0.074245,?,?,?
203,'2023/10/22 16:29:00:207',4,0.265624,64.599609,0.056014,129.199219,0.040314,43.066406,0.030907,193.798828,0.027071,86.132813,0.026782,?,?,?
202,'2023/10/22 16:29:00:190',4,0.26831,64.599609,0.056604,129.199219,0.040449,43.066406,0.03016,86.132813,0.027005,193.798828,0.026674,?,?,?
201,'2023/10/22 16:29:00:176',4,0.355599,64.599609,0.106002,43.066406,0.100626,236.865234,0.054638,107.666016,0.053868,86.132813,0.052853,?,?,?
200,'2023/10/22 16:29:00:162',4,0.355599,64.599609,0.106002,43.066406,0.100626,236.865234,0.054638,107.666016,0.053868,86.132813,0.052853,?,?,?
199,'2023/10/22 16:29:00:144',4,0.409375,43.066406,0.103265,64.599609,0.098051,258.398438,0.049842,86.132813,0.046792,1291.992188,0.045459,?,?,?
198,'2023/10/22 16:29:00:127',4,0.409375,43.066406,0.103265,64.599609,0.098051,258.398438,0.049842,86.132813,0.046792,1291.992188,0.045459,?,?,?
197,'2023/10/22 16:29:00:110',4,0.466568,0,0.042671,0,0.042671,0,0.042671,0,0.042671,0,0.042671,?,?,?
196,'2023/10/22 16:28:59:338',4,0.276911,0,0.154185,0,0.154185,0,0.154185,0,0.154185,0,0.154185,?,?,?
195,'2023/10/22 16:28:59:321',4,0.288281,0,0.145392,0,0.145392,0,0.145392,0,0.145392,0,0.145392,?,?,?
194,'2023/10/22 16:28:59:303',4,0.258161,0,0.143263,0,0.143263,0,0.143263,0,0.143263,0,0.143263,?,?,?
193,'2023/10/22 16:28:58:661',4,0.250484,0,0.063281,0,0.063281,0,0.063281,0,0.063281,0,0.063281,?,?,?
192,'2023/10/22 16:28:58:645',4,0.282621,0,0.076324,0,0.076324,0,0.076324,0,0.076324,0,0.076324,?,?,?
191,'2023/10/22 16:28:58:629',4,0.349098,0,0.135327,0,0.135327,0,0.135327,0,0.135327,0,0.135327,?,?,?
190,'2023/10/22 16:28:58:612',4,0.349098,0,0.135327,0,0.135327,0,0.135327,0,0.135327,0,0.135327,?,?,?
